state,date,electricity_sales,average_temp,monthly_mean_from_1901_to_2000,month,month_sin,month_cos
Connecticut,2001-01-01,2760,26.0,27.4,1,0.4999999999999999,0.8660254037844386
Maine,2001-01-01,1071,15.8,16.0,1,0.4999999999999999,0.8660254037844386
Massachusetts,2001-01-01,4659,24.8,26.1,1,0.4999999999999999,0.8660254037844386
New Hampshire,2001-01-01,976,18.8,19.4,1,0.4999999999999999,0.8660254037844386
Rhode Island,2001-01-01,635,28.0,29.0,1,0.4999999999999999,0.8660254037844386
Vermont,2001-01-01,522,17.2,17.8,1,0.4999999999999999,0.8660254037844386
New Jersey,2001-01-01,6309,29.4,31.3,1,0.4999999999999999,0.8660254037844386
New York,2001-01-01,12748,20.9,22.2,1,0.4999999999999999,0.8660254037844386
Pennsylvania,2001-01-01,12706,24.2,27.1,1,0.4999999999999999,0.8660254037844386
Illinois,2001-01-01,12383,21.6,27.4,1,0.4999999999999999,0.8660254037844386
Indiana,2001-01-01,9047,23.0,28.4,1,0.4999999999999999,0.8660254037844386
Michigan,2001-01-01,8860,19.6,20.7,1,0.4999999999999999,0.8660254037844386
Ohio,2001-01-01,14678,24.6,28.7,1,0.4999999999999999,0.8660254037844386
Wisconsin,2001-01-01,5690,13.8,15.3,1,0.4999999999999999,0.8660254037844386
Iowa,2001-01-01,3401,15.4,20.3,1,0.4999999999999999,0.8660254037844386
Kansas,2001-01-01,2972,27.6,30.1,1,0.4999999999999999,0.8660254037844386
Minnesota,2001-01-01,5329,9.2,9.7,1,0.4999999999999999,0.8660254037844386
Missouri,2001-01-01,6938,25.2,31.2,1,0.4999999999999999,0.8660254037844386
Nebraska,2001-01-01,2134,23.1,23.7,1,0.4999999999999999,0.8660254037844386
North Dakota,2001-01-01,957,9.9,9.6,1,0.4999999999999999,0.8660254037844386
South Dakota,2001-01-01,803,16.6,17.4,1,0.4999999999999999,0.8660254037844386
Delaware,2001-01-01,1068,32.2,34.8,1,0.4999999999999999,0.8660254037844386
Florida,2001-01-01,18377,54.8,58.2,1,0.4999999999999999,0.8660254037844386
Georgia,2001-01-01,10979,42.0,46.7,1,0.4999999999999999,0.8660254037844386
Maryland,2001-01-01,5921,30.7,33.9,1,0.4999999999999999,0.8660254037844386
North Carolina,2001-01-01,11601,37.2,40.8,1,0.4999999999999999,0.8660254037844386
South Carolina,2001-01-01,7126,41.0,45.2,1,0.4999999999999999,0.8660254037844386
Virginia,2001-01-01,9576,32.2,35.8,1,0.4999999999999999,0.8660254037844386
West Virginia,2001-01-01,2973,27.5,31.8,1,0.4999999999999999,0.8660254037844386
Alabama,2001-01-01,7362,40.2,45.8,1,0.4999999999999999,0.8660254037844386
Kentucky,2001-01-01,7640,29.2,34.9,1,0.4999999999999999,0.8660254037844386
Mississippi,2001-01-01,3947,39.6,46.0,1,0.4999999999999999,0.8660254037844386
Tennessee,2001-01-01,9649,32.4,38.2,1,0.4999999999999999,0.8660254037844386
Arkansas,2001-01-01,3804,34.3,40.4,1,0.4999999999999999,0.8660254037844386
Louisiana,2001-01-01,6572,44.6,50.1,1,0.4999999999999999,0.8660254037844386
Oklahoma,2001-01-01,4270,33.4,37.8,1,0.4999999999999999,0.8660254037844386
Texas,2001-01-01,27584,43.2,46.2,1,0.4999999999999999,0.8660254037844386
Arizona,2001-01-01,4787,42.5,41.1,1,0.4999999999999999,0.8660254037844386
Colorado,2001-01-01,3867,25.2,24.5,1,0.4999999999999999,0.8660254037844386
Idaho,2001-01-01,2029,23.6,23.0,1,0.4999999999999999,0.8660254037844386
Montana,2001-01-01,1174,20.2,18.7,1,0.4999999999999999,0.8660254037844386
Nevada,2001-01-01,2138,32.2,30.6,1,0.4999999999999999,0.8660254037844386
New Mexico,2001-01-01,1602,33.5,34.0,1,0.4999999999999999,0.8660254037844386
Utah,2001-01-01,2040,28.4,26.2,1,0.4999999999999999,0.8660254037844386
Wyoming,2001-01-01,1116,20.0,19.6,1,0.4999999999999999,0.8660254037844386
California,2001-01-01,21744,44.4,42.7,1,0.4999999999999999,0.8660254037844386
Oregon,2001-01-01,4827,32.8,31.0,1,0.4999999999999999,0.8660254037844386
Washington,2001-01-01,9205,30.6,29.5,1,0.4999999999999999,0.8660254037844386
Connecticut,2001-02-01,2438,27.6,25.8,2,0.8660254037844385,0.5000000000000001
Maine,2001-02-01,1009,15.0,14.1,2,0.8660254037844385,0.5000000000000001
Massachusetts,2001-02-01,4195,26.2,24.6,2,0.8660254037844385,0.5000000000000001
New Hampshire,2001-02-01,843,19.6,17.8,2,0.8660254037844385,0.5000000000000001
Rhode Island,2001-02-01,588,29.4,27.4,2,0.8660254037844385,0.5000000000000001
Vermont,2001-02-01,476,18.6,15.8,2,0.8660254037844385,0.5000000000000001
New Jersey,2001-02-01,5669,32.4,30.1,2,0.8660254037844385,0.5000000000000001
New York,2001-02-01,12017,23.6,20.3,2,0.8660254037844385,0.5000000000000001
Pennsylvania,2001-02-01,11845,28.8,25.9,2,0.8660254037844385,0.5000000000000001
Illinois,2001-02-01,11675,28.3,27.3,2,0.8660254037844385,0.5000000000000001
Indiana,2001-02-01,8027,30.2,28.0,2,0.8660254037844385,0.5000000000000001
Michigan,2001-02-01,7931,22.8,18.7,2,0.8660254037844385,0.5000000000000001
Ohio,2001-02-01,13229,30.8,28.0,2,0.8660254037844385,0.5000000000000001
Wisconsin,2001-02-01,5229,17.0,14.5,2,0.8660254037844385,0.5000000000000001
Iowa,2001-02-01,3104,19.4,20.2,2,0.8660254037844385,0.5000000000000001
Kansas,2001-02-01,2624,30.7,31.1,2,0.8660254037844385,0.5000000000000001
Minnesota,2001-02-01,4806,11.4,9.3,2,0.8660254037844385,0.5000000000000001
Missouri,2001-02-01,5981,31.8,31.5,2,0.8660254037844385,0.5000000000000001
Nebraska,2001-02-01,2002,24.8,24.5,2,0.8660254037844385,0.5000000000000001
North Dakota,2001-02-01,917,11.2,9.1,2,0.8660254037844385,0.5000000000000001
South Dakota,2001-02-01,747,17.6,17.5,2,0.8660254037844385,0.5000000000000001
Delaware,2001-02-01,1059,35.8,33.8,2,0.8660254037844385,0.5000000000000001
Florida,2001-02-01,15263,59.1,58.6,2,0.8660254037844385,0.5000000000000001
Georgia,2001-02-01,8917,48.4,47.3,2,0.8660254037844385,0.5000000000000001
Maryland,2001-02-01,4954,35.1,33.1,2,0.8660254037844385,0.5000000000000001
North Carolina,2001-02-01,9525,42.8,40.9,2,0.8660254037844385,0.5000000000000001
South Carolina,2001-02-01,6151,47.3,45.7,2,0.8660254037844385,0.5000000000000001
Virginia,2001-02-01,7820,37.8,35.8,2,0.8660254037844385,0.5000000000000001
West Virginia,2001-02-01,2411,33.7,31.6,2,0.8660254037844385,0.5000000000000001
Alabama,2001-02-01,6041,46.9,46.6,2,0.8660254037844385,0.5000000000000001
Kentucky,2001-02-01,6297,36.6,35.1,2,0.8660254037844385,0.5000000000000001
Mississippi,2001-02-01,3366,46.7,46.7,2,0.8660254037844385,0.5000000000000001
Tennessee,2001-02-01,8345,39.5,38.7,2,0.8660254037844385,0.5000000000000001
Arkansas,2001-02-01,3257,41.2,41.1,2,0.8660254037844385,0.5000000000000001
Louisiana,2001-02-01,5801,51.1,50.9,2,0.8660254037844385,0.5000000000000001
Oklahoma,2001-02-01,3625,38.5,38.9,2,0.8660254037844385,0.5000000000000001
Texas,2001-02-01,24171,47.9,47.4,2,0.8660254037844385,0.5000000000000001
Arizona,2001-02-01,4416,42.2,42.6,2,0.8660254037844385,0.5000000000000001
Colorado,2001-02-01,3410,26.4,25.5,2,0.8660254037844385,0.5000000000000001
Idaho,2001-02-01,1743,24.0,24.2,2,0.8660254037844385,0.5000000000000001
Montana,2001-02-01,1008,20.6,19.1,2,0.8660254037844385,0.5000000000000001
Nevada,2001-02-01,1884,30.8,32.0,2,0.8660254037844385,0.5000000000000001
New Mexico,2001-02-01,1467,35.6,35.8,2,0.8660254037844385,0.5000000000000001
Utah,2001-02-01,1808,29.0,27.8,2,0.8660254037844385,0.5000000000000001
Wyoming,2001-02-01,1128,20.4,20.4,2,0.8660254037844385,0.5000000000000001
California,2001-02-01,18306,42.7,43.8,2,0.8660254037844385,0.5000000000000001
Oregon,2001-02-01,4459,32.6,32.2,2,0.8660254037844385,0.5000000000000001
Washington,2001-02-01,8317,32.0,30.8,2,0.8660254037844385,0.5000000000000001
Connecticut,2001-03-01,2577,31.8,30.9,3,1.0,6.123233995736766e-17
Maine,2001-03-01,1009,20.1,20.4,3,1.0,6.123233995736766e-17
Massachusetts,2001-03-01,4495,30.2,29.7,3,1.0,6.123233995736766e-17
New Hampshire,2001-03-01,875,23.8,23.7,3,1.0,6.123233995736766e-17
Rhode Island,2001-03-01,636,33.1,32.0,3,1.0,6.123233995736766e-17
Vermont,2001-03-01,475,22.4,21.9,3,1.0,6.123233995736766e-17
New Jersey,2001-03-01,5841,36.6,34.9,3,1.0,6.123233995736766e-17
New York,2001-03-01,11790,26.4,25.7,3,1.0,6.123233995736766e-17
Pennsylvania,2001-03-01,11491,32.4,31.2,3,1.0,6.123233995736766e-17
Illinois,2001-03-01,10709,34.0,34.5,3,1.0,6.123233995736766e-17
Indiana,2001-03-01,7847,35.4,34.5,3,1.0,6.123233995736766e-17
Michigan,2001-03-01,8468,25.8,24.1,3,1.0,6.123233995736766e-17
Ohio,2001-03-01,13478,35.2,33.8,3,1.0,6.123233995736766e-17
Wisconsin,2001-03-01,5364,21.4,22.3,3,1.0,6.123233995736766e-17
Iowa,2001-03-01,3057,24.2,28.7,3,1.0,6.123233995736766e-17
Kansas,2001-03-01,2677,35.8,38.1,3,1.0,6.123233995736766e-17
Minnesota,2001-03-01,4830,15.4,18.6,3,1.0,6.123233995736766e-17
Missouri,2001-03-01,5657,37.2,38.7,3,1.0,6.123233995736766e-17
Nebraska,2001-03-01,1903,28.9,31.3,3,1.0,6.123233995736766e-17
North Dakota,2001-03-01,847,16.3,18.3,3,1.0,6.123233995736766e-17
South Dakota,2001-03-01,712,21.1,25.3,3,1.0,6.123233995736766e-17
Delaware,2001-03-01,966,39.9,38.5,3,1.0,6.123233995736766e-17
Florida,2001-03-01,14383,64.8,61.8,3,1.0,6.123233995736766e-17
Georgia,2001-03-01,8862,53.7,52.0,3,1.0,6.123233995736766e-17
Maryland,2001-03-01,5367,39.2,38.1,3,1.0,6.123233995736766e-17
North Carolina,2001-03-01,9196,46.8,45.6,3,1.0,6.123233995736766e-17
South Carolina,2001-03-01,5619,51.8,50.3,3,1.0,6.123233995736766e-17
Virginia,2001-03-01,8070,41.6,40.7,3,1.0,6.123233995736766e-17
West Virginia,2001-03-01,2405,37.6,36.8,3,1.0,6.123233995736766e-17
Alabama,2001-03-01,5895,52.0,51.6,3,1.0,6.123233995736766e-17
Kentucky,2001-03-01,6861,41.4,41.0,3,1.0,6.123233995736766e-17
Mississippi,2001-03-01,3173,52.1,52.0,3,1.0,6.123233995736766e-17
Tennessee,2001-03-01,7404,44.6,44.2,3,1.0,6.123233995736766e-17
Arkansas,2001-03-01,3032,46.7,47.2,3,1.0,6.123233995736766e-17
Louisiana,2001-03-01,5408,55.9,55.7,3,1.0,6.123233995736766e-17
Oklahoma,2001-03-01,3464,44.0,45.3,3,1.0,6.123233995736766e-17
Texas,2001-03-01,22424,52.6,52.9,3,1.0,6.123233995736766e-17
Arizona,2001-03-01,4362,48.0,47.1,3,1.0,6.123233995736766e-17
Colorado,2001-03-01,3520,32.1,30.6,3,1.0,6.123233995736766e-17
Idaho,2001-03-01,1675,30.8,29.5,3,1.0,6.123233995736766e-17
Montana,2001-03-01,992,25.2,25.4,3,1.0,6.123233995736766e-17
Nevada,2001-03-01,1958,37.9,36.8,3,1.0,6.123233995736766e-17
New Mexico,2001-03-01,1469,41.8,40.6,3,1.0,6.123233995736766e-17
Utah,2001-03-01,1820,36.6,33.9,3,1.0,6.123233995736766e-17
Wyoming,2001-03-01,1102,26.2,25.7,3,1.0,6.123233995736766e-17
California,2001-03-01,21351,47.8,47.0,3,1.0,6.123233995736766e-17
Oregon,2001-03-01,4262,37.2,36.2,3,1.0,6.123233995736766e-17
Washington,2001-03-01,7355,36.0,35.8,3,1.0,6.123233995736766e-17
Connecticut,2001-04-01,2238,41.0,40.7,4,0.8660254037844387,-0.4999999999999997
